date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
,,https://www.google.com/maps/place/Frau+Petra+Pfeufer/data=!4m7!3m6!1s0x47a2c442983c1ffd:0x7b923b2ae85d9ab4!8m2!3d50.05562!4d9.69088!16s%2Fg%2F1tcztyzv!19sChIJ_R88mELEokcRtJpd6Co7kns?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Ute+Heidenreich+Heilpraktikerin/data=!4m7!3m6!1s0x47a2c4057fc28607:0x2912ed0a0475f5f9!8m2!3d50.0353348!4d9.7013371!16s%2Fg%2F1v76ynks!19sChIJB4bCfwXEokcR-fV1BArtEik?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Privatpraxis+f%C3%BCr+Osteopathie+%26+Physiotherapie+-+Natascha+H%C3%B6fling/data=!4m7!3m6!1s0x47a2c529f3dd28a7:0x20033e57f218c0ef!8m2!3d50.0621185!4d9.6641483!16s%2Fg%2F11qqvgvfsq!19sChIJpyjd8ynFokcR78AY8lc-AyA?authuser=0&hl=de&rclk=1,,,,,https://osteopathie-im-spessart.de/,,"hp, physio",
,,https://www.google.com/maps/place/Graf+Osteopathie/data=!4m7!3m6!1s0x47a2c5039e52c2c3:0x820ddc61cfd8839f!8m2!3d50.0543268!4d9.6930148!16s%2Fg%2F11pzbqj_6z!19sChIJw8JSngPFokcRn4PYz2HcDYI?authuser=0&hl=de&rclk=1,,,,,https://graf-osteopathie.de/,,hp,
,,https://www.google.com/maps/place/Praxis+Zeissner/data=!4m7!3m6!1s0x47a2c442be1b50b9:0xeed4421d58524bf5!8m2!3d50.0557715!4d9.690363!16s%2Fg%2F11cs6b547w!19sChIJuVAbvkLEokcR9UtSWB1C1O4?authuser=0&hl=de&rclk=1,,,,,http://praxis-zeissner.de/,,psy,
,,https://www.google.com/maps/place/Thomas+Wellh%C3%B6fer/data=!4m7!3m6!1s0x47a2c474f9a9f28b:0xe32f83c35e826730!8m2!3d50.0473!4d9.7117!16s%2Fg%2F1tmqqc7w!19sChIJi_Kp-XTEokcRMGeCXsODL-M?authuser=0&hl=de&rclk=1,,,,,http://physiotherapie-wellhoefer.de/,,,
,,https://www.google.com/maps/place/zeiTraum/data=!4m7!3m6!1s0x47a2c462be50e1b3:0x8a82cdd1538d0ef6!8m2!3d50.0614617!4d9.6512616!16s%2Fg%2F11gw2s9tlg!19sChIJs-FQvmLEokcR9g6NU9HNgoo?authuser=0&hl=de&rclk=1,,,,,http://sabineweippert-zeitraum.de/,,,
,,https://www.google.com/maps/place/Physiotherapie+Helmut+Haupt/data=!4m7!3m6!1s0x47a2c45cec2e68ff:0x48b4b1880616ad9c!8m2!3d50.059!4d9.68814!16s%2Fg%2F1tgprmkt!19sChIJ_2gu7FzEokcRnK0WBoixtEg?authuser=0&hl=de&rclk=1,,,,,0,,physio,
,,https://www.google.com/maps/place/Juwan+Wellness+Thai+Massage/data=!4m7!3m6!1s0x47a2c4429b9f4eab:0xeb753b338d851757!8m2!3d50.0552358!4d9.6910014!16s%2Fg%2F1ts3k6mt!19sChIJq06fm0LEokcRVxeFjTM7des?authuser=0&hl=de&rclk=1,,,,,http://www.juwan-maria.de/,,,
,,https://www.google.com/maps/place/Michael+M%C3%BCller/data=!4m7!3m6!1s0x4173153b6989a523:0x22273f550bd0d267!8m2!3d50.0555163!4d9.6903487!16s%2Fg%2F1tdshssv!19sChIJI6WJaTsVc0ERZ9LQC1U_JyI?authuser=0&hl=de&rclk=1,,,,,http://physiotherapiemueller.de/,,physio,
,,https://www.google.com/maps/place/Dr.med.+Roselinde+Hemmerlein/data=!4m7!3m6!1s0x47a2c4726df928cb:0x43f541ab2a0d757b!8m2!3d50.049156!4d9.703638!16s%2Fg%2F1vp6z5v1!19sChIJyyj5bXLEokcRe3UNKqtB9UM?authuser=0&hl=de&rclk=1,,,,,0,,doc,
